MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Sonnenschein,Sonnenscheindauer,2011,201103,199,169,97.03,17.75,142
Sonnenschein,Sonnenscheindauer,2011,201104,271,225,36.18,20.44,146
Sonnenschein,Sonnenscheindauer,2011,201105,282,110,4.06,156.36,160
Sonnenschein,Sonnenscheindauer,2011,201106,166,195,-41.13,-14.87,158
Sonnenschein,Sonnenscheindauer,2011,201107,189,276,13.86,-31.52,151
Sonnenschein,Sonnenscheindauer,2011,201108,265,160,40.21,65.63,159
Sonnenschein,Sonnenscheindauer,2011,201109,218,164,-17.74,32.93,164
Sonnenschein,Sonnenscheindauer,2011,201110,179,117,-17.89,52.99,169
Sonnenschein,Sonnenscheindauer,2011,201111,119,74,-33.52,60.81,173
Sonnenschein,Sonnenscheindauer,2011,201112,50,38,-57.98,31.58,174
Sonnenschein,Sonnenscheindauer,2010,Summe,1634,1798,,-9.12,
Sonnenschein,Sonnenscheindauer,2010,201001,36,95,-38.98,-62.11,145
Sonnenschein,Sonnenscheindauer,2010,201002,70,68,94.44,2.94,145
Sonnenschein,Sonnenscheindauer,2010,201003,169,68,141.43,148.53,154
Sonnenschein,Sonnenscheindauer,2010,201004,225,241,33.14,-6.64,152
Sonnenschein,Sonnenscheindauer,2010,201005,110,219,-51.11,-49.77,143
Sonnenschein,Sonnenscheindauer,2010,201006,195,173,77.27,12.72,145
Sonnenschein,Sonnenscheindauer,2010,201007,276,221,41.54,24.89,150
Sonnenschein,Sonnenscheindauer,2010,201008,160,262,-42.03,-38.93,141
Sonnenschein,Sonnenscheindauer,2010,201009,164,186,2.5,-11.83,139
Sonnenschein,Sonnenscheindauer,2010,201010,117,106,-28.66,10.38,140
Sonnenschein,Sonnenscheindauer,2010,201011,74,100,-36.75,-26,138
Sonnenschein,Sonnenscheindauer,2010,201012,38,59,-48.65,-35.59,136
Sonnenschein,Sonnenscheindauer,2009,Summe,1798,1907,,-5.72,
Sonnenschein,Sonnenscheindauer,2009,200901,95,103,23.38,-7.77,158
Sonnenschein,Sonnenscheindauer,2009,200902,68,184,-28.42,-63.04,149
Sonnenschein,Sonnenscheindauer,2009,200903,68,125,0,-45.6,144
Sonnenschein,Sonnenscheindauer,2009,200904,241,141,254.41,70.92,152
Sonnenschein,Sonnenscheindauer,2009,200905,219,259,-9.13,-15.44,149
Sonnenschein,Sonnenscheindauer,2009,200906,173,211,-21,-18.01,146
Sonnenschein,Sonnenscheindauer,2009,200907,221,239,27.75,-7.53,144
Sonnenschein,Sonnenscheindauer,2009,200908,262,227,18.55,15.42,147
Sonnenschein,Sonnenscheindauer,2009,200909,186,122,-29.01,52.46,152
Sonnenschein,Sonnenscheindauer,2009,200910,106,126,-43.01,-15.87,151
Sonnenschein,Sonnenscheindauer,2009,200911,100,93,-5.66,7.53,151
Sonnenschein,Sonnenscheindauer,2009,200912,59,77,-41,-23.38,150
Sonnenschein,Sonnenscheindauer,2008,Summe,1907,1988,,-4.07,
Sonnenschein,Sonnenscheindauer,2008,200801,103,52,83.93,98.08,170
Sonnenschein,Sonnenscheindauer,2008,200802,184,111,78.64,65.77,176
Sonnenschein,Sonnenscheindauer,2008,200803,125,176,-32.07,-28.98,172
Sonnenschein,Sonnenscheindauer,2008,200804,141,330,12.8,-57.27,156
Sonnenschein,Sonnenscheindauer,2008,200805,259,240,83.69,7.92,158
Sonnenschein,Sonnenscheindauer,2008,200806,211,243,-18.53,-13.17,155
Sonnenschein,Sonnenscheindauer,2008,200807,239,246,13.27,-2.85,154
Sonnenschein,Sonnenscheindauer,2008,200808,227,197,-5.02,15.23,157
Sonnenschein,Sonnenscheindauer,2008,200809,122,144,-46.26,-15.28,155
Sonnenschein,Sonnenscheindauer,2008,200810,126,134,3.28,-5.97,154
Sonnenschein,Sonnenscheindauer,2008,200811,93,59,-26.19,57.63,157
Sonnenschein,Sonnenscheindauer,2008,200812,77,56,-17.2,37.5,159
Sonnenschein,Sonnenscheindauer,2007,Summe,1988,1997,,-0.45,
Sonnenschein,Sonnenscheindauer,2007,200701,52,116,-52.73,-55.17,161
Sonnenschein,Sonnenscheindauer,2007,200702,111,82,113.46,35.37,164
Sonnenschein,Sonnenscheindauer,2007,200703,176,104,58.56,69.23,170
Sonnenschein,Sonnenscheindauer,2007,200704,330,141,87.5,134.04,185
Sonnenschein,Sonnenscheindauer,2007,200705,240,214,-27.27,12.15,187
Sonnenschein,Sonnenscheindauer,2007,200706,243,277,1.25,-12.27,185
Sonnenschein,Sonnenscheindauer,2007,200707,246,339,1.23,-27.43,177
Sonnenschein,Sonnenscheindauer,2007,200708,197,139,-19.92,41.73,182
Sonnenschein,Sonnenscheindauer,2007,200709,144,209,-26.9,-31.1,176
Sonnenschein,Sonnenscheindauer,2007,200710,134,166,-6.94,-19.28,174
Sonnenschein,Sonnenscheindauer,2007,200711,59,100,-55.97,-41,170
Sonnenschein,Sonnenscheindauer,2007,200712,56,110,-5.08,-49.09,166
Sonnenschein,Sonnenscheindauer,2006,Summe,1997,1902,,4.99,
Sonnenschein,Sonnenscheindauer,2006,200601,116,100,141.67,16,160
Sonnenschein,Sonnenscheindauer,2006,200602,82,77,-29.31,6.49,160
Sonnenschein,Sonnenscheindauer,2006,200603,104,159,26.83,-34.59,156
Sonnenschein,Sonnenscheindauer,2006,200604,141,186,35.58,-24.19,152
Sonnenschein,Sonnenscheindauer,2006,200605,214,241,51.77,-11.2,150
Sonnenschein,Sonnenscheindauer,2006,200606,277,252,29.44,9.92,152
Sonnenschein,Sonnenscheindauer,2006,200607,339,208,22.38,62.98,163
Sonnenschein,Sonnenscheindauer,2006,200608,139,178,-59,-21.91,159
Sonnenschein,Sonnenscheindauer,2006,200609,209,193,50.36,8.29,161
Sonnenschein,Sonnenscheindauer,2006,200610,166,182,-20.57,-8.79,159
Sonnenschein,Sonnenscheindauer,2006,200611,100,78,-39.76,28.21,161
Sonnenschein,Sonnenscheindauer,2006,200612,110,48,10,129.17,166
Sonnenschein,Sonnenscheindauer,2005,Summe,1902,1784,,6.61,
Sonnenschein,Sonnenscheindauer,2005,200501,100,51,38.89,96.08,153
Sonnenschein,Sonnenscheindauer,2005,200502,77,90,-23,-14.44,152
Sonnenschein,Sonnenscheindauer,2005,200503,159,174,106.49,-8.62,150
Sonnenschein,Sonnenscheindauer,2005,200504,186,192,16.98,-3.13,150
Sonnenschein,Sonnenscheindauer,2005,200505,241,190,29.57,26.84,154
Sonnenschein,Sonnenscheindauer,2005,200506,252,203,4.56,24.14,158
Sonnenschein,Sonnenscheindauer,2005,200507,208,223,-17.46,-6.73,157
Sonnenschein,Sonnenscheindauer,2005,200508,178,239,-14.42,-25.52,152
Sonnenschein,Sonnenscheindauer,2005,200509,193,187,8.43,3.21,152
Sonnenschein,Sonnenscheindauer,2005,200510,182,112,-5.7,62.5,158
Sonnenschein,Sonnenscheindauer,2005,200511,78,51,-57.14,52.94,161
Sonnenschein,Sonnenscheindauer,2005,200512,48,72,-38.46,-33.33,159
Sonnenschein,Sonnenscheindauer,2004,Summe,1784,2172,,-17.86,
Sonnenschein,Sonnenscheindauer,2004,200401,51,58,-30.14,-12.07,180
Sonnenschein,Sonnenscheindauer,2004,200402,90,119,76.47,-24.37,178
Sonnenschein,Sonnenscheindauer,2004,200403,174,198,93.33,-12.12,176
Sonnenschein,Sonnenscheindauer,2004,200404,192,213,10.34,-9.86,174
Sonnenschein,Sonnenscheindauer,2004,200405,190,210,-1.04,-9.52,173
Sonnenschein,Sonnenscheindauer,2004,200406,203,302,6.84,-32.78,164
Sonnenschein,Sonnenscheindauer,2004,200407,223,277,9.85,-19.49,160
Sonnenschein,Sonnenscheindauer,2004,200408,239,301,7.17,-20.6,155
Sonnenschein,Sonnenscheindauer,2004,200409,187,217,-21.76,-13.82,152
Sonnenschein,Sonnenscheindauer,2004,200410,112,118,-40.11,-5.08,152
Sonnenschein,Sonnenscheindauer,2004,200411,51,86,-54.46,-40.7,149
Sonnenschein,Sonnenscheindauer,2004,200412,72,73,41.18,-1.37,149
Sonnenschein,Sonnenscheindauer,2003,Summe,2172,1856,,17.03,
Sonnenschein,Sonnenscheindauer,2003,200301,58,106,65.71,-45.28,151
Sonnenschein,Sonnenscheindauer,2003,200302,119,89,105.17,33.71,153
Sonnenschein,Sonnenscheindauer,2003,200303,198,202,66.39,-1.98,153
Sonnenschein,Sonnenscheindauer,2003,200304,213,181,7.58,17.68,156
Sonnenschein,Sonnenscheindauer,2003,200305,210,195,-1.41,7.69,157
Sonnenschein,Sonnenscheindauer,2003,200306,302,282,43.81,7.09,158
Sonnenschein,Sonnenscheindauer,2003,200307,277,221,-8.28,25.34,163
Sonnenschein,Sonnenscheindauer,2003,200308,301,216,8.66,39.35,170
Sonnenschein,Sonnenscheindauer,2003,200309,217,176,-27.91,23.3,174
Sonnenschein,Sonnenscheindauer,2003,200310,118,105,-45.62,12.38,175
Sonnenschein,Sonnenscheindauer,2003,200311,86,48,-27.12,79.17,178
Sonnenschein,Sonnenscheindauer,2003,200312,73,35,-15.12,108.57,181
Sonnenschein,Sonnenscheindauer,2002,Summe,1856,1829,,1.48,
Sonnenschein,Sonnenscheindauer,2002,200201,106,93,45.21,13.98,154
Sonnenschein,Sonnenscheindauer,2002,200202,89,87,-16.04,2.3,154
Sonnenschein,Sonnenscheindauer,2002,200203,202,84,126.97,140.48,164
Sonnenschein,Sonnenscheindauer,2002,200204,181,143,-10.4,26.57,167
Sonnenschein,Sonnenscheindauer,2002,200205,195,265,7.73,-26.42,161
Sonnenschein,Sonnenscheindauer,2002,200206,282,230,44.62,22.61,165
Sonnenschein,Sonnenscheindauer,2002,200207,221,272,-21.63,-18.75,161
Sonnenschein,Sonnenscheindauer,2002,200208,216,254,-2.26,-14.96,158
Sonnenschein,Sonnenscheindauer,2002,200209,176,76,-18.52,131.58,166
Sonnenschein,Sonnenscheindauer,2002,200210,105,183,-40.34,-42.62,160
Sonnenschein,Sonnenscheindauer,2002,200211,48,69,-54.29,-30.43,158
Sonnenschein,Sonnenscheindauer,2002,200212,35,73,-27.08,-52.05,155
Sonnenschein,Sonnenscheindauer,2001,Summe,1829,1842,,-0.71,
Sonnenschein,Sonnenscheindauer,2001,200101,93,82,20.78,13.41,154
Sonnenschein,Sonnenscheindauer,2001,200102,87,91,-6.45,-4.4,154
Sonnenschein,Sonnenscheindauer,2001,200103,84,112,-3.45,-25,152
Sonnenschein,Sonnenscheindauer,2001,200104,143,188,70.24,-23.94,148
Sonnenschein,Sonnenscheindauer,2001,200105,265,237,85.31,11.81,150
Sonnenschein,Sonnenscheindauer,2001,200106,230,296,-13.21,-22.3,145
Sonnenschein,Sonnenscheindauer,2001,200107,272,182,18.26,49.45,152
Sonnenschein,Sonnenscheindauer,2001,200108,254,250,-6.62,1.6,153
Sonnenschein,Sonnenscheindauer,2001,200109,76,164,-70.08,-53.66,145
Sonnenschein,Sonnenscheindauer,2001,200110,183,63,140.79,190.48,155
Sonnenschein,Sonnenscheindauer,2001,200111,69,100,-62.3,-31,153
Sonnenschein,Sonnenscheindauer,2001,200112,73,77,5.8,-5.19,152
Sonnenschein,Sonnenscheindauer,2000,Summe,1842,,,,
Sonnenschein,Sonnenscheindauer,2000,200001,82,,,,82
Sonnenschein,Sonnenscheindauer,2000,200002,91,,10.98,,87
Sonnenschein,Sonnenscheindauer,2000,200003,112,,23.08,,95
Sonnenschein,Sonnenscheindauer,2000,200004,188,,67.86,,118
Sonnenschein,Sonnenscheindauer,2000,200005,237,,26.06,,142
Sonnenschein,Sonnenscheindauer,2000,200006,296,,24.89,,168
Sonnenschein,Sonnenscheindauer,2000,200007,182,,-38.51,,170
Sonnenschein,Sonnenscheindauer,2000,200008,250,,37.36,,180
Sonnenschein,Sonnenscheindauer,2000,200009,164,,-34.4,,178
Sonnenschein,Sonnenscheindauer,2000,200010,63,,-61.59,,167
Sonnenschein,Sonnenscheindauer,2000,200011,100,,58.73,,160
Sonnenschein,Sonnenscheindauer,2000,200012,77,,-23,,154
